Respondent ID,How many years of experience do you have in OSS projects?,"On average, how many issues/PRs do you submit to OSS projects each month?","When opening an issue/PR to OSS projects,  do you follow the template?","Based on your experience, how much do you agree with the following statements about the usefulness of issue/PR templates?",,,,,,,,"From the contributors perspective, what are the challenges of using the issue/PR template feature on GitHub?","To better support your tasks as an OSS contributor, what improvements would you like to see for the issue/PR template feature on GitHub?",Do you have anything else to tell us about issue/PR templates on GitHub?,
13349829215,5-10 years,3~10,Often,Agree,Very agree,Very agree,Very disagree,Agree,Agree,Very agree,They are useful to set standards for the project.,Sometimes an issue doesn't fit in any of the categories so we can't follow the proposed issue/PR structure.,"I would like that the person submitting the issue could select from a selection of labels open to them by project maintainers, to segment issues a bit better.","I like them, but sometimes they have strange requirements like requiring signoffs AND PGP verification. I think either is acceptable but both is redundant. ",
13349825216,>10 years,3~10,Often,Very agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,,,,,
13349817191,3-5 years,< 3,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Agree,Agree,,"Sometimes some fields are irrelevant, but you can just omit them.",They're pretty great the way they are.,,
13349814167,1-3 years,10~30,Always,Agree,Very agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Auto labeling. Starting workflows.,"Keeping them compact, basic, remaining the necessary information.","Conditional templates, enabling to omit or include certain sections on the fly.  Making some parts mandatory (so they cannot be removed)  It is not easy to recover the template if you deleted some parts. It would be nice if you could reset the template, of even select one.",,
13349808677,3-5 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,Sometimes it presents as gatekeeping and may ignore problems that cannot fulfill the template requirements properly.,"Make it easy to create one, and not figure out the markdown syntax.",I haven't created mine because it feels like another chore in the overall creation process. ,
13349806921,>10 years,3~10,Always,Agree,Agree,Agree,Very agree,Agree,Agree,Agree,,"Sometimes, it can be a form of ""gatekeeping"" and used to drive away contributors because the maintainers are not interested in fostering a vibrant community",I think they are fine. I cannot think of any improvements.,,
13349804169,5-10 years,< 3,Always,Agree,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree,,,,,
13349803107,3-5 years,< 3,Always,Agree,Disagree,Agree,Disagree,Disagree,Agree,Very disagree,,,,,
13349802647,1-3 years,3~10,Often,Very agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Very agree,Agree,,,,,
13349795677,5-10 years,< 3,Always,Very agree,Neither agree or disagree,Very agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,,,,,
13349789766,5-10 years,< 3,Often,Very agree,Very agree,Very agree,Very agree,Neither agree or disagree,Very agree,Very agree,,Sometimes the template asks something like "your environment" without a specification for which aspect of the environment should be supplied.  It's extremely troubling for guys using a custom system (Linux From Scratch) like me.    And the template can cause problems searching the issues/PRs (because all the issues/PRs match a same pattern string).,,,
13349789712,1-3 years,< 3,Often,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,,,,,
13349789390,>10 years,3~10,Often,Agree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,,"Sometimes the templates are WAY too exhaustive,  requiring 10-20 different questions to be answered",Support for input fields/checkboxes/radioboxes instead of having to copy/paste markdown,,
13349781736,1-3 years,< 3,Often,Agree,Agree,Very agree,Very agree,Agree,Agree,Agree,,,,,
13349781494,5-10 years,10~30,Always,Very agree,Very agree,Agree,Neither agree or disagree,Very agree,Disagree,Disagree,,"Sometimes templates are too verbose, too much comments inside a template can ruin the contributors experience and slow down the process of opening issues/PR.",Interactive forms built from templates. E.g. like Survey Monkey.,,
13349777427,1-3 years,3~10,Often,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Disagree,Disagree,,,,,
13349771311,>10 years,3~10,Often,Very agree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Disagree,Disagree,Friendliness - an opportunity to say thank you for contributing.,"You can only have one (as far as I am aware).    If you want to open a bug, suggest a feature, create an RFC, you might want a different template for each type.",,,
13349769184,>10 years,3~10,Often,Agree,Disagree,Agree,Very agree,Agree,Neither agree or disagree,Very agree,,,,,
13349768845,1-3 years,3~10,Often,Very agree,Very agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Disagree,,It takes more time to create an issue,A form like way to fill the template,,
13349767125,3-5 years,< 3,Always,Agree,Very agree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Very disagree,,"Additional effort of providing all data, despite knowing that the date would be really helpful",,,
13349766217,5-10 years,3~10,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
13349765073,< 1 year,< 3,Often,Agree,Agree,Neither agree or disagree,Very agree,Very agree,Neither agree or disagree,Agree,,,,,
13349762978,>10 years,< 3,Sometimes,Agree,Agree,Agree,Agree,Very agree,Very agree,Very agree,,,,,
